en,pt,fr,es,id
Derivative options,Opções derivadas,Options dérivatives,Opciones derivadas,Opsi derivatif
Derivative,Derivado,Derivé,Derivados,Derivatif
Synthetic indices,Índices Sintéticos,Indices synthétiques,Índices sintéticos,Indeks Sintetis
Options / Binary options / Digital options,Opções / Opções Binárias / Opções Digitais,Options / Options binaires / Options digitales,Opciones / Opciones binarias / Opciones digitales,Opsi/Opsi Binary/Opsi Digital
Multipliers,Multiplicadores,Multiplicateurs,Multiplicadores,Multiplier
Margin,Margem,Marge,Margen,Margin
Margin requirement,Requerimento de margem,Marge requise,Requisito de margen,Persyaratan margin
Contract for difference (CFD),Contrato por diferença,Contrat sur la différence,Contrato por diferencia (CFD),Kontrak untuk perbedaan (DFD)
Tick,Tick,Tick,Tick,Tik
Spread,Spread,Spread,Spread,Spread
Affiliate,Afiliados,Affilié,Afiliado,Afiliasi
Bear market,Bear Market,Marché baissier,Mercado bajista,Market bear
Bid price,Preço Bid,Prix de l'offre,Precio de oferta,Harga bid
Bull market,Bull Market,Marché haussier,Mercado alcista,Market bull
Bullish,Bullish,Haussier,Alcista,Bullish
Bearish,Bearish,Baissier,Bajista,Bearish
Opening price,Preço de abertura,Prix d'ouverture,Precio de apertura,Harga pembukaan
Closing price,Preço de fechamento,Prix de clôture,Precio de cierre,Harga penutupan
Counterparty,Contraparte,Contrepartie,Contraparte,Mitra pengimbang
Ask / Offer price,Preços de venda / oferta,Prix de vente / offre,Precio de venta / oferta,Harga permintaan/penawaran
Stake,Entrada,Investissement,Inversión,Modal
Payout,Retorno,Paiement,Pago,Hasil
Spot price,Preço do ponto,Prix spot,Precio spot,Harga spot
Entry spot,Preço de entrada,Spot d'entrée,Spot de entrada,Spot awal
Exit spot,Preço de saída,Spot de sortie,Spot de salida,Spot akhir
Open (Candlestick chart),Abertura (gráfico de velas),Ouverture (Graphique de chandelier),Apertura (gráfico de velas),Buka (grafik candlestick)
Close (Candlestick chart),Fechamento (gráfico de velas),Fermeture (Graphique de chandelier),Cierre (gráfico de velas),Tutup (grafik candlestick)
High (Candlestick chart),Alto (gráfico de velas),Supérieur (Graphique de chandelier),Máximo (gráfico de velas),Tinggi (grafik candlestick)
Low (Candlestick chart),Baixo (gráfico de velas),Inférieur (Graphique de chandelier),Mínimo (gráfico de velas),Rendah (grafik candlestick)
Forex,Forex,Forex,Forex,Forex
Major pairs,Pares principais,Paires majeures,Pares mayores,Pasangan mayor
Smart FX,Cesta de índices,Smart FX,Smart FX,Smart FX
Exotic pairs,Pares exóticos,Paires exotiques,Pares exóticos,Pasangan eksotis
Smart Gold Index,Cesta de ouro,Indice Smart Gold,Índice Smart Gold,Indeks Smart Gold
Stocks,Ações,Actions,Acciones,Saham
Commodities,Matérias primas,Matières premières,Materias primas,Komoditas
Profit table,Tabela de lucro,Tableau des bénéfices,Tabla de ganancias,Tabel keuntungan
Cashier,Caixa,Caisse,Cajero,Kasir
API token,Token API,Token API,Token API,Token API
Take profit,Take profit,Take profit,Take profit,Batas keuntungan
Stop loss,Stop loss,Stop loss,Stop loss,Batas kerugian
Deriv peer to peer (DP2P),Deriv peer to peer (DP2P),Deriv peer to peer (DP2P),Deriv peer-to-peer (DP2P),Deriv peer-to-peer (DP2P)
Smart Trader,Smart Trader,Smart Trader,Smart Trader,Smart Trader
DTrader,DTrader,DTrader,DTrader,DTrader
Deriv GO,Deriv GO,Deriv GO,Deriv GO,Deriv GO
Deriv X,Deriv X,Deriv X,Deriv X,Deriv X
Binary Bot,Binary Bot,Binary Bot,Binary Bot,Binary Bot
DBot,DBot,DBot,DBot,DBot
Ticktrade App,Ticktrade App,Ticktrade App,Ticktrade App,Aplikasi Ticktrade
MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5,MetaTrader 5 (MT5) / Deriv MetaTrader 5 (DMT5) / Deriv MT5
Introducing broker (IB),Corretor de Apresentação (IB),Courtage d'introduction (IB),Bróker introductor (IB),Introducing broker (IB)
Spot exchange rate,Taxa de câmbio (spot),Taux de change spot,Tasa de cambio al contado (spot),Nilai tukar spot
Lookback,Retroativos,Lookback,Retroactivo,Lookback
Crash/Boom,Crash/Boom,Crash/Boom,Crash/Boom,Crash/Boom
Range Break,Range Break,Range Break,Range Break,Range Break
Step indices,Índices Step,Step indices,Índices step,Indeks Step
Swap charges,Taxa swap,Frais de swap,Cargos swap,Biaya swap
Over-the-counter / over the counter (OTC),Over-the-counter / mercado de balcão (OTC),Over-the-counter / over the counter (OTC),Extrabursátil (OTC),Over-the-counter / over the counter (OTC)
Deriv API,API Deriv,Deriv API,API Deriv,API Deriv
Contracts,Contratos,Contrats,Contratos,Kontrak
Call/Put Spreads,Call/Put Spread,Call/Put Spreads,Call/Put Spreads,Spread Call/Put
Cryptocurrency trading,Negociação de criptomoedas,Trading de cryptomonnaie,Operaciones con criptomonedas,Trading mata uang kripto
Cryptocurrency,Criptomoedas,Cryptomonnaie,Criptomonedas,Mata uang kripto
Leverage,Alavancagem,Levier,Apalancamiento,Leverage
Liquidity provider (LP),Provedor de liquidez (LP),Animateur de marché (LP),Proveedor de liquidez (PL),Penyedia likuiditas (LP)
Minor pairs,Pares secundários,Paires mineures,Pares menores,Pasangan minor
Basket indices,Cesta de índices,Panier d'indices,Cesta de índices,Indeks basket
Base currency,Moeda base,Devise de base,Moneda base,Mata uang dasar
Quote currency,Moeda da cotação,Devise cotée,Moneda de cotización,Mata uang kutipan
Barrier,Barreira,Barrière,Barrera,Barrier
Duration,Duração,Durée,Duración,Durasi
Pip,Pip,Pip,Pip,Pip
DMT5 signals,Sinais DMT5,Signaux DMT5,Señales DMT5,Sinyal DMT5
Signal provider,Provedor de sinal,Fournisseur de signaux,Proveedor de señales,Penyedia sinyal
Signal subscriber,Assinante de sinal,Souscripteur du signal,Suscriptor de señal,Pelanggan sinyal
Go long,Vá de long,Aller long,Ir en largo,Beli
Go short,Vá de short,Aller court,Ir en corto,Jual
Demo account,Conta Demo,Compte Démo,Cuenta demo,Akun demo
Real account,Conta Real,Compte Réel,Cuenta real,Akun riil
Asset,Ativo,Actif,Activo,Aset
Sell price,Preço de venda,Prix de vente,Precio de venta,Harga jual
Market price,Preço de mercado,Prix de marché,Precio de mercado,Harga market
Buy price,Preço de compra,Prix d'achat,Precio de compra,Harga beli
Equity,Capital,Action,Capital,Ekuitas
Open positions,Posições abertas,Positions ouvertes,Posiciones abiertas,Posisi berjalan
Liquidity risks,Risco de liquidez,Risques de liquidité,Riesgos de liquidez,Risiko likuiditas
Underlying asset,Ativo subjacente,Actif sous-jacent,Activo subyacente,Aset dasar
Up/Down,Acima/Abaixo,Hausse/Baisse,Arriba/Abajo,Up/Down
In/Out,Dentro/Fora,In/Out,Dentro/Fuera,In/Out
Digits,Dígitos,Chiffres,Dígitos,Digit
Reset Call/Reset Put,Redefinir Compra/Redefinir Venda,Reset Call/Reset Put,Reset Call/Reset Put,Reset Call/Reset Put
High/Low Ticks,Ticks Superior/Inferior,Ticks Haut/Bas,Ticks altos/bajos,High/Low Tik
Touch/No Touch,Toca/Não Toca,Touche/Ne Touche Pas,Toca/No Toca,Touch/No Touch
Trading platform,Plataforma de negociação,Plateforme de trading,Plataforma de operaciones,Touch/No Touch
Market,Mercado,Marché,Mercado,Pasar
Stock indices,Índices de ações,Indices boursiers,Índices bursátiles,Indeks saham
Trade type,Tipo de negociação,Type de trade,Tipo de operación,Jenis kontrak
Mobile trading,Negociação pelo celular,Trading par téléphone,Trading con móvil,Trading seluler
Point,Ponto,Point,Punto,Poin
Fundamental analysis,Análise fundamental,Analyse fondamentale,Análisis fundamental,Analisis fundamental
Technical analysis,Análise técnica,Analyse technique,Anáisis técnico,Analisis teknikal
Day trading,Day trade,Trading de jour,Operaciones diurnas,Trading harian
Intraday,Intraday,Intrajournalier,Intradía,Intraday
Automated trading,Negociação automatizada,Trading automatisé,Operaciones automatizadas,Trading otomatis
Trade,Operar,Trade,Operar (v) / Operación (n),Trading
Broker,Broker,Broker,Bróker,Broker
Contract,Contrato,Contrat,Contrato,Kontrak
Market price,Preço de mercado,Prix de marché,Precio de mercado,Harga pasar
Altcoin,Altcoin,Altcoin,Altcoin,Altcoin
All-time low (ATL),All-time low (ATL),All-time low (ATL),Mínimo histórico (ATL),Terendah sepanjang masa (ATL)
All-time high (ATH),All-time high (ATH),All-time high (ATH),Máximo histórico (ATH),Tertinggi sepanjang masa (ATH)
Virtual funds,Fundos virtuais,Fonds virtuels,Fondos virtuales,Dana virtual
Payment methods,Métodos de pagamentos,Méthodes de paiement,Métodos de pago,Metode pembayaran
Blockchain,Blockchain,Blockchain,Blockchain,Blockchain
Verification,Verificação,Vérification,Verificación,Verifikasi
Deal cancellation,Cancelamento da transação,Deal cancellation,Cancelación del contrato,Pembatalan transaksi
Non-refundable fee,Taxa não reembolsável,Frais non remboursables,Tarifa no reembolsable,Biaya yang tidak dapat dikembalikan
Loss,Perda,Perte,Pérdida,Rugi
Net loss,Perda líquida,Perte nette,Pérdida neta,Kerugian bersih
Volatile,Volátil,Volatile,Volátil,Fluktuatif
Liquidity,Liquidez,Liquidité,Liquidez,Liquiditas
Payment agent,Agente de pagamento,Agent de paiement,Agente de pago,Agen pembayaran
Weighted,Ponderado,Pondéré,Ponderada,Bobot
Downtrend,Downtrend,Tendance à la baisse,Tendencia a la baja,Trend menurun
Flip,Flipagem,Flipping,Cambiar,Membalik
Resistance level,Level de resistência,Niveau de résistance,Nivel de resistencia,Tingkat resistensi
Scalping,Scalping,Scalping,Scalping,Scalping
Position trading,Position trade,Position trading,Position trading,Trading posisi
Swing trading,Swing trade,Swing trading,Swing trading,Trading swing
Volatility,Volatilidade,Volatilité,Volatilidad,Volatilitas
Trading plan,Plano de negociação,Plan de trading,Plan de operaciones,Rencana trading
Trading journal,Jornal de negociação,Journal de trading,Diario de operaciones,Jurnal trading
