English,Portugese,French,Spanish,Indonesian
Tight spreads,,,Spreads ajustados,
Potential profit,,,Beneficio potencial,
Initial deposit,,,Depósito inicial,
"Simple, flexible, reliable",,,"Simple, flexible, fiable",
Intuitive trading platforms,,,Plataformas de operación intuitivas,
Zero commission,,,Cero comisiones,
100+ tradeable assets,,,Más de 100 activos operables,
24/7 trading,,,Trading 24/7,
Sharp prices,,,Precios competitivos,
Flexible trade types,,,Tipos de operación flexibles,
Fast deposits,,,Depósitos rápidos,
The Deriv experience,,,La experiencia Deriv,
Automated trading at your fingertips,,,Operaciones automatizadas en la punta de tus dedos,
Minimise potential losses,,,Minimiza tus pérdidas potenciales,
"Expert, friendly support",,,Soporte experto y amigable,
Unlimited virtual funds,,,Fondos virtuales ilimitados,
Supported payment methods,,,Métodos de pago soportados,
Increase your market exposure,,,Incrementa tu exposición al mercado,
Go long or short,,,Ir en largo o en corto,
Popular cryptocurrencies,,,Criptomonedas populares,
Anticipate price movements,,,Anticipa los movimientos de precio,
Liquid currencies,,,Monedas líquidas,
Amplify your potential profit,,,Amplifica tus beneficios potenciales,
Fixed payout,,,Pago fijo,
Minimal capital investment,,,Inversión de capital mínimo,
Predict the outcome,,,Predice el resultado,
Earn a payout,,,Obtén un pago,
Instant access,,,Acceso instantáneo,
Minimal capital requirements,,,Requisitos de capital mínimo,
User-friendly platforms,,,Plataformas fáciles de usar,
Powerful chart technology,,,Tecnología de gráficos poderosos,
Trade on world events,,,Opere en eventos mundiales,
Risk management,,,Gestión de riesgo,
"Secure, responsive platform",,,Plataforma segura y receptiva,
Increased market exposure,,,Exposición al mercado incrementada,
Optional parameters,,,Parámetros opcionales,
Customise the parameters,,,Personaliza los parámetros,
Award-winning platforms,,,Plataformas galardonadas,
All-in-one trading platform,,,Plataforma de operación todo en uno,
Multiple asset classes,,,Múltiples clases de activos,
Innovative trade types,,,Tipos de operación innovadores,
New and experienced traders,,,Traders nuevos y expertos,
Licensed and regulated,,,Autorizada y regulada,
Quick sign-up,,,Registro rápido,
Proprietary synthetic indices,,,Índices sintéticos propios,
Regulated industry pioneer,,,Pionero regulado en la industria,
Practise trading,,,Practica el trading,
Take control of your trades,,,Toma el control de tus operaciones,
Increase your returns,,,Incrementa tus retornos,
Trade on the world markets,,,Opera en los mercados mundiales,
No swap charges,,,Sin cargos swap,
Multi-asset trading platform,,,Plataforma de operaciones multiactivos,
Versatile trading experience,,,Experiencia de operación versátil,
Customise your trading environment,,,Personaliza tu entorno de operación,
Built to fit your trading style,,,Construido para adaptarse a tu estilo de operación,
Multiple markets on a single platform,,,Múltiples mercados en una única plataforma,
Bespoke trading experience,,,Experiencia de operación a medida,
Intuitive tools,,,Herramientas intuitivas,
Feature-rich charts,,,Gráficos repletos de características,
Trading made simple,,,El trading simplificado,
Flexible trade duration,,,Duración de operación flexible,
Make smarter trading decisions,,,Tomar decisiones de operación inteligentes,
"Trade what you want, when you want",,,"Opera como quieras, cuando quieras",
"Start trading whenever, wherever you want",,,"Empieza a operar donde quieras, cuando quieras",
User-friendly features,,,Características fáciles de usar,
Round the clock,,,A cualquier hora,
Easy access,,,Fácil acceso,
Trading on the go,,,Trading en movimiento,
Risk appetite,,,Apetito de riesgo,
Trader sentiment,,,Sentimiento de trader,
Economic slowdown,,,Desaceleración económica,
Gain traction,,,Ganar tracción,
Fund your account,,,Depositar fondos en tu cuenta,
Cryptographically secure,,,Criptográficamente seguro,
Simulate real-world market movements,,,Simular los movimientos de los mercados del mundo real,
